	1
62	 уважаемый, недружественный, недалекий, недалекий. оба эти человека не пра
63	 Давайте сперва импортируем сирийских беженцев в Германию.
64	 верните сюда вашу коммунистическую задницу!
65	 Вы отлично знаете, что я не делал плохо. Надеюсь, я смог по
66	 партийным избирателям нравятся глупые политики, и знаете что?...................
67	 да, кто эти богатые люди думают, что раздают 2 миллиарда долларов?
68	 увы, платит Гавайи, но это, к сожалению, делает их сч
69	 я считаю, что Клаф часто бывает недалёким.
70	 проблема в том, что их руководство до смешного некомпетентно.
71	 извините, но мне вас очень жаль, если вы начнете 
72	 Кризис от опиоидов - прямой результат политики запрета.
73	 Уходите с тупичка, пожалуйста. У вас чт
74	 давайте воспитывать очередного человека. давайте восп
75	 извините, но приятно бы было создать канал, чтобы американцы поняли через сколько се
76	 дорогой, вы неверный. попр
77	 уважайте ее, прежде чем она бросит больше денег мошенникам и профессиональным попрошайкам. берегит
78	 мошенник и получите вознаграждение. вставьте картинку Mulroneys. Обратите внима
79	 глупый, а не я.
80	 Вся эта статья - отстой.
81	 голосование за нее, если экзаменатор и недальновидно относится к ней.
82	 что-то очень болезненное в ваших головах.
83	 большие магазины, такие как cabalas, sportmans и bass pro, являются рассадником для таких людей.
84	 я не голосовал за нее, потому что она злостное непорядочно
85	 Возьмите когда-нибудь книгу по истории и прочитите эту штуку. Обратите вниман
86	 что за куча трусов и людей.
87	 он был суровым, но вполне вежливым. Надеюсь, вы поняли, что он был не
88	 я, к сожалению, обеспокоен вашим состоянием! извините, но мне вас оч
89	 должны дать достаточно хорошее представление о том, кто же истинный глупец.
90	 это один высокомерный человек. попробуйте почитать 
91	 Вы взяли это чушь? Вы взяли это? Ч
92	 Сми ставят нас за недалекий ум.
93	 вы очень плохая модель поведения и очень низкая цена. попробуйте сходить к врачу, возможно вам полегчает. попробуйте
94	 вы что взяли эту чушь?
95	 пожалуйста, перейдите к другим и прочитайте полностью. у вас, похоже, отсутс
96	 кто-то с шарами взял на себя ответственность!
97	 Предлагаю немедленно прекратить этот глупый трубопровод как можно скорее.
98	 был очень агрессивен и вспыльчив, но совсем недружелюбный.
99	 Такие глупые мужчины пытаются объяснить основы гражданской активности, это весело.
